券商買賣股票成交價量資訊
股票代碼,="1219"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1114企銀嘉義,18.95,15000,0,,2,1114企銀嘉義,19.00,2000,0 
3,1114企銀嘉義,19.05,1000,0,,4,1161日盛忠孝,19.05,0,84 
5,1163日盛台中,18.95,0,2000,,6,1650瑞銀,18.95,0,9000 
7,1650瑞銀,19.00,0,2000,,8,5265大慶苗栗,19.00,1000,0 
9,592i元富中港,18.95,1000,0,,10,592v元富桃園,19.05,0,1 
11,6451永全南崁,19.00,2000,0,,12,700f兆豐鹿港,19.00,0,1000 
13,779J國票北高,19.05,0,1,,14,8150台    新,19.00,2000,0 
15,815B台新台中,18.95,1000,0,,16,8455康和台中,19.05,0,280 
17,8520中    農,18.95,0,3000,,18,8520中    農,19.00,0,1000 
19,8560新    光,18.95,0,2000,,20,8841玉山雙和,19.05,0,36 
21,8883國泰松江,18.95,1000,0,,22,9108群益海山,19.05,461,0 
23,9186群益新竹,19.00,0,2000,,24,920M凱基宜蘭,19.00,2000,0 
25,9225凱基內埔,19.00,10000,0,,26,9285凱基中壢,18.95,1000,0 
27,9302華南台中,19.00,0,2000,,28,9302華南台中,19.05,0,56 
29,9339華南竹北,19.05,0,1,,30,9359華南中正,19.00,1000,0 
31,9651富邦民生,19.05,0,1,,32,980K元大竹科,19.00,7000,0 
33,981M元大苗栗,19.00,0,1000,,34,981V元大民雄,19.00,0,1000 
35,983i元大大雅,19.00,1000,0,,36,9868元大文心,18.95,0,3000 
37,9868元大文心,19.00,0,2000,,38,9868元大文心,19.05,0,1000 
39,9869元大新盛,19.00,0,14000,,40,989C元大板橋,19.05,0,1 
41,989E元大草屯,19.00,0,2000,,,,,, 
