ㄩ坝禦芥布Θユ基秖戈癟
布絏,="1234"
腹,ㄩ坝,基,禦秈计,芥计,,腹,ㄩ坝,基,禦秈计,芥计
1,1023畐蔼动,32.30,0,2000,,2,1029畐获,31.95,3000,0 
3,102C畐眏,31.80,1,0,,4,1040籓    蝗,31.90,1000,0 
5,1040籓    蝗,32.20,1000,0,,6,116Eら脖,31.85,1000,0 
7,126XЩ环穝て,31.80,0,35,,8,1440狶,31.85,0,1000 
9,1440狶,32.00,0,9000,,10,1440狶,32.05,0,2000 
11,1440狶,32.10,0,7000,,12,1440狶,32.15,0,3000 
13,1520风獺禪,31.95,0,1000,,14,1520风獺禪,32.00,0,1000 
15,1650风蝗,32.15,0,2000,,16,1650风蝗,32.20,0,4000 
17,5853参い胏,32.20,0,2000,,18,585M参狶,31.95,1000,0 
19,585M参狶,32.20,1000,0,,20,585W参,32.10,0,1000 
21,5929じ碔玭,32.00,1000,0,,22,592Aじ碔絥,32.00,2000,0 
23,592Aじ碔絥,32.15,2000,0,,24,592Aじ碔絥,32.20,8000,0 
25,592Aじ碔絥,32.25,3000,0,,26,592Aじ碔絥,32.30,0,2000 
27,592Pじ碔,32.20,5000,0,,28,592uじ碔禩,32.30,0,1000 
29,6160い瓣獺癠,31.80,300,0,,30,616Aい獺い胏,32.20,1000,0 
31,6210穝 κ ,32.15,3000,0,,32,6912紈獺いタ,32.00,1000,0 
33,8150    穝,31.85,2000,0,,34,8150    穝,32.00,0,1000 
35,8150    穝,32.05,1000,0,,36,8150    穝,32.15,2000,0 
37,8150    穝,32.30,0,2000,,38,815B穝い,32.00,2000,0 
39,8440集硄,31.85,0,2000,,40,8440集硄,31.90,0,1000 
41,8440集硄,31.95,0,3000,,42,8440集硄,32.00,0,5000 
43,8440集硄,32.05,0,1000,,44,8440集硄,32.10,0,1000 
45,8440集硄,32.15,0,2000,,46,8440集硄,32.25,0,3000 
47,8440集硄,32.30,0,1000,,48,8450眃    ㎝,31.80,10,0 
49,845D眃㎝狾爵,31.80,500,0,,50,8581羛ü蔼动,32.25,0,1000 
51,8841ド蛮㎝,32.10,1000,0,,52,884Cド玭ㄊ,32.10,0,3000 
53,888K瓣狾爵,32.25,1000,0,,54,888K瓣狾爵,32.30,9000,0 
55,9108竤痲,32.10,3000,0,,56,9189竤痲堕,32.10,5000,0 
57,918g竤痲ヒ,32.05,2000,0,,58,920D惩膀カ┎,32.20,0,10000 
59,9268惩膀,32.30,0,1000,,60,9322地玭そ港,31.80,1,0 
61,9676碔üく稲,31.80,0,828,,62,9677碔ü,32.00,0,1000 
63,9692碔ü古竡,32.00,1000,0,,64,980Cじゆせ,31.80,1,0 
65,982Cじせ,32.10,3000,0,,66,9834じい胏,32.00,10000,0 
67,989LじΘ,31.80,50,0,,,,,, 
